epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,457.845,0.45338,0.96018,0.42955,0.83543,0.9834,0.963,0.99256,0.94486,0.9834,0.963,0.99256,0.86555,0.30333,0.90255,0.36965,0.80755,0.0008318,0.0008318,0.0008318
61,463.891,0.48622,1.01077,0.43544,0.84212,0.98179,0.96477,0.99227,0.94625,0.98179,0.96477,0.99227,0.87187,0.30618,0.91572,0.36422,0.80717,0.000812,0.000812,0.000812
62,469.084,0.44967,0.85053,0.41569,0.84909,0.98897,0.97216,0.99285,0.94822,0.98897,0.97216,0.99285,0.87818,0.29504,0.84657,0.37391,0.80185,0.0007922,0.0007922,0.0007922
63,474.71,0.43502,0.86065,0.4285,0.84585,0.98151,0.9729,0.99348,0.94166,0.98151,0.9729,0.99348,0.87464,0.30198,0.79801,0.35367,0.80529,0.0007724,0.0007724,0.0007724
64,483.085,0.4464,0.91639,0.44083,0.84669,0.95677,0.98374,0.99188,0.93965,0.95766,0.98071,0.99179,0.87441,0.31902,0.7945,0.35725,0.81056,0.0007526,0.0007526,0.0007526
65,491.99,0.49352,1.01868,0.44235,0.84808,0.96702,0.98916,0.99335,0.94901,0.96702,0.98916,0.99335,0.88733,0.3049,0.7659,0.33513,0.80035,0.0007328,0.0007328,0.0007328
66,497.776,0.43681,0.86153,0.4352,0.84817,0.96213,0.99187,0.9939,0.94964,0.96213,0.99187,0.9939,0.88244,0.30057,0.78599,0.33291,0.7958,0.000713,0.000713,0.000713
67,503.352,0.4449,0.88304,0.42478,0.84464,0.98097,0.97779,0.99324,0.94953,0.98097,0.97779,0.99324,0.87419,0.28964,0.81185,0.32935,0.79246,0.0006932,0.0006932,0.0006932
68,509.214,0.42598,0.85984,0.42025,0.84724,0.9624,0.99458,0.99303,0.94965,0.9624,0.99458,0.99303,0.87573,0.29071,0.82196,0.32095,0.7947,0.0006734,0.0006734,0.0006734
69,515.66,0.45613,0.9752,0.41621,0.84356,0.96541,0.98321,0.99167,0.94901,0.96541,0.98321,0.99167,0.87835,0.30153,0.83396,0.33218,0.80364,0.0006536,0.0006536,0.0006536
70,525.264,0.47308,0.97482,0.42077,0.83919,0.97298,0.97569,0.99131,0.94755,0.97298,0.97569,0.99131,0.89353,0.30217,0.75693,0.3286,0.80372,0.0006338,0.0006338,0.0006338
71,530.749,0.38865,0.81691,0.37943,0.83506,0.98099,0.97897,0.99231,0.95012,0.98099,0.97897,0.99231,0.8945,0.29594,0.76783,0.31414,0.80241,0.000614,0.000614,0.000614
72,537.462,0.46169,0.96787,0.42209,0.84996,0.9901,0.97832,0.99333,0.95071,0.9901,0.97832,0.99333,0.88086,0.29176,0.84869,0.3015,0.80183,0.0005942,0.0005942,0.0005942
73,543.97,0.43674,0.92091,0.40171,0.83417,0.98368,0.98022,0.99374,0.95344,0.98368,0.98022,0.99374,0.87994,0.2859,0.8793,0.29923,0.79995,0.0005744,0.0005744,0.0005744
74,550.104,0.41101,0.87767,0.39104,0.84917,0.97838,0.98131,0.99324,0.954,0.97838,0.98131,0.99324,0.89169,0.28264,0.78762,0.30311,0.79547,0.0005546,0.0005546,0.0005546
75,566.503,0.46437,1.01147,0.39942,0.8301,0.97658,0.98103,0.9927,0.94853,0.97658,0.98103,0.9927,0.88625,0.28475,0.74817,0.30743,0.79901,0.0005348,0.0005348,0.0005348
76,575.137,0.47585,0.97253,0.4058,0.84602,0.97723,0.9729,0.99297,0.94669,0.97723,0.9729,0.99297,0.87952,0.31158,0.77281,0.31042,0.80502,0.000515,0.000515,0.000515
77,582.111,0.47047,0.97681,0.40531,0.84577,0.98217,0.98103,0.99334,0.94886,0.98217,0.98103,0.99334,0.87991,0.30148,0.77992,0.29801,0.8024,0.0004952,0.0004952,0.0004952
78,587.849,0.43426,0.87854,0.41225,0.84801,0.96817,0.98906,0.99311,0.94288,0.96817,0.98906,0.99311,0.87834,0.30438,0.79492,0.30262,0.80416,0.0004754,0.0004754,0.0004754
79,595.124,0.45437,0.95726,0.39154,0.83324,0.97164,0.97561,0.9901,0.94074,0.97164,0.97561,0.99012,0.86789,0.29196,0.8316,0.31491,0.80477,0.0004556,0.0004556,0.0004556
80,600.898,0.44047,0.90734,0.37684,0.83486,0.96519,0.97688,0.98892,0.93659,0.96519,0.97688,0.98892,0.86454,0.30163,0.83324,0.31465,0.80706,0.0004358,0.0004358,0.0004358
81,610.015,0.4283,0.9283,0.38467,0.8378,0.96525,0.98916,0.99064,0.94217,0.96525,0.98916,0.99064,0.87671,0.29792,0.7982,0.30219,0.80611,0.000416,0.000416,0.000416
